Volume,Chapter,PDF_Paragraphs,Extracted_Paragraphs,Difference,Match_Percent
3,480(183),2,3,-1,150.0
3,481(184),2,3,-1,150.0
3,482(185),3,5,-2,166.7
3,483(186),5,6,-1,120.0
3,484(187),2,3,-1,150.0
3,485(188),1,2,-1,200.0
3,486(189),5,6,-1,120.0
3,487(190),4,6,-2,150.0
3,488(191),2,3,-1,150.0
3,489(192),2,3,-1,150.0
3,490(193),1,2,-1,200.0
3,491(194),3,4,-1,133.3
3,492(195),3,4,-1,133.3
3,493(196),2,3,-1,150.0
3,494(197),5,6,-1,120.0
3,495(198),4,5,-1,125.0
3,496(199),0,2,-2,0.0
3,497(200),5,7,-2,140.0
3,498(201),3,4,-1,133.3
3,499(202),1,2,-1,200.0
3,500(203),4,5,-1,125.0
3,501(204),3,4,-1,133.3
3,502(205),2,3,-1,150.0
3,503(206),5,6,-1,120.0
3,504(207),1,2,-1,200.0
3,505(208),0,1,-1,0.0
3,506(209),0,1,-1,0.0
3,507(210),0,1,-1,0.0
3,508(211),0,1,-1,0.0
3,509(212),1,3,-2,300.0
3,510(213),3,4,-1,133.3
3,511(214),2,3,-1,150.0
3,512(215),1,2,-1,200.0
3,513(216),1,2,-1,200.0
3,514(217),1,2,-1,200.0
3,515(218),4,5,-1,125.0
3,516(219),2,4,-2,200.0
3,517(220),1,2,-1,200.0
3,518(221),5,4,1,80.0
3,519(222),1,2,-1,200.0
3,520(223),0,1,-1,0.0
3,521(224),2,2,0,100.0
3,522(225),2,3,-1,150.0
3,523(226),0,1,-1,0.0
3,524(227),1,2,-1,200.0
3,525(228),1,2,-1,200.0
3,526(229),2,3,-1,150.0
3,527(230),2,3,-1,150.0
3,528(231),1,2,-1,200.0
3,529(232),1,2,-1,200.0
3,530(233),1,2,-1,200.0
3,531(234),1,2,-1,200.0
3,532(235),1,2,-1,200.0
3,533(236),1,2,-1,200.0
3,534(237),0,1,-1,0.0
3,535(238),2,3,-1,150.0
3,536(239),2,3,-1,150.0
3,537(240),1,2,-1,200.0
3,538(241),2,3,-1,150.0
3,539(242),2,3,-1,150.0
3,540(243),4,3,1,75.0
3,541(244),3,2,1,66.7
3,542(245),3,4,-1,133.3
3,543(246),2,3,-1,150.0
3,544(247),5,4,1,80.0
3,545(248),1,2,-1,200.0
3,546(249),0,1,-1,0.0
3,547(250),0,1,-1,0.0
3,548(251),1,2,-1,200.0
3,549(252),3,4,-1,133.3
3,550(253),3,4,-1,133.3
3,551(254),2,3,-1,150.0
3,552(255),3,4,-1,133.3
3,553(256),2,3,-1,150.0
3,554(257),1,2,-1,200.0
3,555(258),2,3,-1,150.0
3,556(259),3,4,-1,133.3
3,557(260),0,1,-1,0.0
3,558(261),2,4,-2,200.0
3,559(262),2,3,-1,150.0
3,560(263),2,3,-1,150.0
3,561(264),3,4,-1,133.3
3,562(265),1,2,-1,200.0
3,563(266),3,4,-1,133.3
3,564(267),2,3,-1,150.0
3,565(268),3,4,-1,133.3
3,566(269),0,1,-1,0.0
3,567(270),1,2,-1,200.0
3,568(271),1,2,-1,200.0
3,569(272),1,2,-1,200.0
3,570(273),1,2,-1,200.0
3,571(274),1,2,-1,200.0
3,572(275),3,4,-1,133.3
3,573(276),1,2,-1,200.0
3,574(277),4,5,-1,125.0
3,575(278),9,10,-1,111.1
3,576(279),1,2,-1,200.0
3,577(280),1,2,-1,200.0
3,578(281),5,7,-2,140.0
3,579(282),5,6,-1,120.0
3,580(283),4,4,0,100.0
3,581(284),2,3,-1,150.0
3,582(285),0,1,-1,0.0
3,583(286),2,3,-1,150.0
3,584(287),2,3,-1,150.0
3,585(288),2,3,-1,150.0
3,586(289),1,2,-1,200.0
3,587(290),2,3,-1,150.0
3,588(291),7,8,-1,114.3
3,589(292),2,3,-1,150.0
3,590(293),1,2,-1,200.0
3,591(294),6,5,1,83.3
3,592(295),1,2,-1,200.0
3,593(296),9,10,-1,111.1
3,594(297),44,47,-3,106.8
3,595(298),7,8,-1,114.3
3,596(299),2,3,-1,150.0
4,597(1),0,2,-2,0.0
4,598(2),2,3,-1,150.0
4,599(3),6,7,-1,116.7
4,600(4),3,4,-1,133.3
4,601(5),2,3,-1,150.0
4,602(6),1,2,-1,200.0
4,603(7),0,1,-1,0.0
4,604(8),6,7,-1,116.7
4,605(9),0,1,-1,0.0
4,606(10),2,4,-2,200.0
4,607(11),0,1,-1,0.0
4,608(12),5,4,1,80.0
4,609(13),1,2,-1,200.0
4,610(14),2,3,-1,150.0
4,611(15),4,5,-1,125.0
4,612(16),0,1,-1,0.0
4,613(17),1,2,-1,200.0
4,614(18),3,4,-1,133.3
4,615(19),4,4,0,100.0
4,616(20),2,3,-1,150.0
4,617(21),5,7,-2,140.0
4,618(22),3,4,-1,133.3
4,619(23),5,4,1,80.0
4,620(24),1,2,-1,200.0
4,621(25),0,1,-1,0.0
4,622(26),0,1,-1,0.0
4,623(27),1,2,-1,200.0
4,624(28),0,1,-1,0.0
4,625(29),1,2,-1,200.0
4,626(30),2,3,-1,150.0
4,627(31),1,2,-1,200.0
4,628(32),3,4,-1,133.3
4,629(33),1,2,-1,200.0
4,630(34),0,2,-2,0.0
4,631(35),2,3,-1,150.0
4,632(36),2,4,-2,200.0
4,633(37),0,1,-1,0.0
4,634(38),3,4,-1,133.3
4,635(39),5,7,-2,140.0
4,636(40),4,6,-2,150.0
4,637(41),4,5,-1,125.0
4,638(42),0,1,-1,0.0
4,639(43),0,1,-1,0.0
4,640(44),0,1,-1,0.0
4,641(45),0,1,-1,0.0
4,642(46),3,4,-1,133.3
4,643(47),2,3,-1,150.0
4,644(48),2,3,-1,150.0
4,645(49),0,1,-1,0.0
4,646(50),2,3,-1,150.0
4,647(51),0,1,-1,0.0
4,648(52),0,1,-1,0.0
4,649(53),4,5,-1,125.0
4,650(54),1,2,-1,200.0
4,651(55),3,4,-1,133.3
4,652(56),1,2,-1,200.0
4,653(57),0,1,-1,0.0
4,654(58),0,1,-1,0.0
4,655(59),2,3,-1,150.0
4,656(60),1,2,-1,200.0
4,657(61),1,4,-3,400.0
4,658(62),3,2,1,66.7
4,659(63),3,4,-1,133.3
4,660(64),5,6,-1,120.0
4,661(65),1,2,-1,200.0
4,662(66),3,4,-1,133.3
4,663(67),8,8,0,100.0
4,664(1),2,3,-1,150.0
4,665(2),1,2,-1,200.0
4,666(3),1,2,-1,200.0
4,667(4),1,2,-1,200.0
4,668(5),1,2,-1,200.0
4,669(6),0,2,-2,0.0
4,670(7),3,4,-1,133.3
4,671(8),1,2,-1,200.0
4,672(9),3,4,-1,133.3
4,673(10),4,5,-1,125.0
4,674(11),2,3,-1,150.0
4,675(12),2,3,-1,150.0
4,676(13),2,3,-1,150.0
4,677(14),1,2,-1,200.0
4,678(15),2,3,-1,150.0
4,679(16),3,4,-1,133.3
4,680(17),2,3,-1,150.0
4,681(18),3,4,-1,133.3
4,682(19),1,2,-1,200.0
4,683(20),0,1,-1,0.0
4,684(21),4,3,1,75.0
4,685(22),3,4,-1,133.3
4,686(23),1,2,-1,200.0
4,687(24),0,1,-1,0.0
4,688(25),1,2,-1,200.0
4,689(26),2,3,-1,150.0
4,690(27),1,2,-1,200.0
4,691(28),0,1,-1,0.0
4,692(29),4,5,-1,125.0
4,693(30),5,6,-1,120.0
4,694(31),1,2,-1,200.0
4,695(32),2,2,0,100.0
4,696(33),13,15,-2,115.4
4,697(34),4,6,-2,150.0
4,698(35),23,24,-1,104.3
4,699(36),8,9,-1,112.5
4,700(37),6,7,-1,116.7
4,701(38),2,3,-1,150.0
4,702(39),5,6,-1,120.0
4,703(40),2,3,-1,150.0
4,704(41),7,6,1,85.7
4,705(42),6,7,-1,116.7
4,706(43),7,8,-1,114.3
4,707(44),5,6,-1,120.0
4,708(45),3,2,1,66.7
4,709(46),2,3,-1,150.0
4,710(47),7,8,-1,114.3
4,711(48),2,3,-1,150.0
4,712(49),4,5,-1,125.0
4,713(50),1,2,-1,200.0
4,714(51),0,1,-1,0.0
4,715(52),0,1,-1,0.0
4,716(53),0,1,-1,0.0
4,717(54),5,6,-1,120.0
4,718(55),3,4,-1,133.3
4,719(56),5,6,-1,120.0
4,720(57),3,4,-1,133.3
4,721(58),3,4,-1,133.3
4,722(59),1,2,-1,200.0
4,723(60),0,1,-1,0.0
4,724(61),0,1,-1,0.0
4,725(62),1,2,-1,200.0
4,726(63),0,1,-1,0.0
4,727(64),1,2,-1,200.0
4,728(65),0,1,-1,0.0
4,729(66),0,1,-1,0.0
4,730(67),10,11,-1,110.0
4,731(68),1,2,-1,200.0
4,732(69),1,1,0,100.0
4,733(70),3,4,-1,133.3
4,734(71),1,2,-1,200.0
4,735(72),1,2,-1,200.0
4,736(73),0,1,-1,0.0
4,737(74),0,1,-1,0.0
4,738(75),1,2,-1,200.0
4,739(76),0,1,-1,0.0
4,740(77),0,1,-1,0.0
4,741(78),0,1,-1,0.0
4,742(79),2,3,-1,150.0
4,743(80),3,4,-1,133.3
4,744(81),6,7,-1,116.7
4,745(82),3,4,-1,133.3
4,746(83),0,1,-1,0.0
4,747(84),0,1,-1,0.0
4,748(85),0,1,-1,0.0
4,749(86),5,6,-1,120.0
4,750(87),2,3,-1,150.0
4,751(88),8,9,-1,112.5
4,752(89),2,3,-1,150.0
4,753(90),0,1,-1,0.0
4,754(91),1,2,-1,200.0
4,755(92),3,4,-1,133.3
4,756(93),4,5,-1,125.0
4,757(94),4,5,-1,125.0
4,758(95),0,1,-1,0.0
4,759(96),1,2,-1,200.0
4,760(97),1,2,-1,200.0
4,761(98),1,2,-1,200.0
4,762(99),0,1,-1,0.0
4,763(100),0,1,-1,0.0
4,764(101),1,2,-1,200.0
4,765(102),1,2,-1,200.0
4,766(103),3,4,-1,133.3
4,767(104),2,3,-1,150.0
4,768(105),1,2,-1,200.0
4,769(106),0,1,-1,0.0
4,770(107),0,1,-1,0.0
4,771(108),0,1,-1,0.0
4,772(109),0,1,-1,0.0
4,773(110),3,3,0,100.0
4,774(111),2,3,-1,150.0
4,775(112),1,2,-1,200.0
4,776(113),1,2,-1,200.0
4,777(114),1,2,-1,200.0
4,778(115),3,4,-1,133.3
4,779(116),0,1,-1,0.0
4,780(117),2,3,-1,150.0
4,781(118),1,2,-1,200.0
4,782(119),5,6,-1,120.0
4,783(120),1,2,-1,200.0
4,784(121),0,1,-1,0.0
4,785(122),2,3,-1,150.0
4,786(123),0,1,-1,0.0
4,787(124),0,1,-1,0.0
4,788(125),0,1,-1,0.0
4,789(126),2,3,-1,150.0
4,790(127),1,2,-1,200.0
4,791(128),2,3,-1,150.0
4,792(129),2,3,-1,150.0
4,793(130),2,3,-1,150.0
4,794(131),3,4,-1,133.3
4,795(132),1,2,-1,200.0
4,796(133),5,6,-1,120.0
4,797(134),2,3,-1,150.0
4,798(135),5,6,-1,120.0
4,799(136),0,1,-1,0.0
4,800(137),4,3,1,75.0
4,801(138),2,3,-1,150.0
4,802(139),2,3,-1,150.0
4,803(140),0,1,-1,0.0
4,804(141),3,4,-1,133.3
4,805(142),2,3,-1,150.0
4,806(143),1,2,-1,200.0
4,807(144),2,3,-1,150.0
4,808(145),6,7,-1,116.7
4,809(146),1,2,-1,200.0
4,810(147),0,1,-1,0.0
4,811(148),3,2,1,66.7
4,812(149),7,9,-2,128.6
4,813(150),1,2,-1,200.0
4,814(151),1,2,-1,200.0
4,815(152),3,2,1,66.7
4,816(153),3,4,-1,133.3
4,817(154),4,6,-2,150.0
4,818(155),0,3,-3,0.0
4,819(156),4,3,1,75.0
4,820(157),0,1,-1,0.0
4,821(158),3,4,-1,133.3
4,822(159),0,1,-1,0.0
4,823(160),3,2,1,66.7
4,824(161),0,1,-1,0.0
4,825(162),4,5,-1,125.0
4,826(163),0,1,-1,0.0
4,827(164),5,6,-1,120.0
4,828(165),1,2,-1,200.0
4,829(166),3,4,-1,133.3
4,830(167),0,1,-1,0.0
4,831(168),0,1,-1,0.0
4,832(169),0,1,-1,0.0
5,833(170),0,2,-2,0.0
5,834(171),0,1,-1,0.0
5,835(172),0,1,-1,0.0
5,836(173),1,2,-1,200.0
5,837(174),2,3,-1,150.0
5,838(175),4,5,-1,125.0
5,839(176),8,9,-1,112.5
5,840(177),5,6,-1,120.0
5,841(178),2,3,-1,150.0
5,842(179),3,4,-1,133.3
5,843(180),2,4,-2,200.0
5,844(181),3,4,-1,133.3
5,845(182),0,1,-1,0.0
5,846(183),1,2,-1,200.0
5,847(184),0,1,-1,0.0
5,848(185),1,2,-1,200.0
5,849(186),1,3,-2,300.0
5,850(187),4,5,-1,125.0
5,851(188),0,1,-1,0.0
5,852(189),1,2,-1,200.0
